Source,Mechanism,TripleCount
LLM,Hematogenous/Lymphatic_Route,1
LLM,Hematogenous_Neuroinvasive_Route,6
LLM,Hematogenous_Route,2
LLM,Hematogenous_spread,2
LLM,Hemorrhages,1
LLM,Hyperactivation_of_Cytokines,2
LLM,Hyperactivation_of_Th1,4
LLM,Hyperactivation_of_Th17,5
LLM,Hypercoagulation,1
LLM,Hypertension,1
LLM,Hypo_Perfusion_and_Cerebral_Hypoxia,1
LLM,Hypotension_(Impaired_CBF_&_CPP),1
LLM,Hypothalamic_Pituitary_Adrenal_(HPA)_Axis_Activation,1
LLM,Hypoxia,9
LLM,Hypoxia_(Oxygen_Deprivation),1
LLM,Hypoxia_Ischemia_and_Neurodegeneration,2
LLM,Hypoxia_due_to_Lung_Injury,1
LLM,Hypoxic_Injury,2
LLM,Imbalance_of_ACE2/ACE_ratio,1
LLM,Imbalance_of_AT1R/AT2R_ratio,1
LLM,Imbalance_of_MAS_R/AT1R_ratio,1
LLM,Immune-Mediated_Pathogenesis,1
LLM,Immune_Cell_Infiltration,1
LLM,Immune_Dysregulation,1
LLM,Immune_Injury,2
LLM,Immune_Response,4
LLM,Immune_Synapse_Formation,1
LLM,Immune_dysregulation,2
LLM,Impaired_BBB,1
LLM,Impaired_Neurovascular_Coupling,1
LLM,Impaired_neural-microglia_communication,1
LLM,Increased_Aβ_and_tau_pathology,1
LLM,Increased_NKT_cell_formation,3
LLM,Indirect_para-infectious_autoimmune_effects,1
LLM,Indirect_post-infectious_autoimmune_effects,2
LLM,Indirect_vascular_effects,3
LLM,Infected_immune/lymphatic_cells,6
LLM,Infection_Induction,3
LLM,Infection_Pathways,2
LLM,Infection_in_Olfactory_Bulb_Neurons,1
LLM,Infection_of_Olfactory_Bulb,1
LLM,Infiltration_of_inflammatory_cytokines/chemokines,1
LLM,Inflammaging,1
LLM,Inflammation,12
LLM,Inflammation_and_Hypoxia,2
LLM,Inflammatory_Cytokine_Release,3
LLM,Inflammatory_Response,12
LLM,Inflammatory_response,1
LLM,Intestinal_colonization,1
LLM,Iron_Dysregulation,3
LLM,Iron_metabolism_disorders,2
LLM,Ischemia,1
LLM,Ischemic_stroke,1
LLM,JAK-STAT_Signaling,4
LLM,Lateralized_Neocortical_Regions,1
LLM,Leukocyte_Migration,1
LLM,Lipid_Peroxidation,3
LLM,Lipid_peroxidation,1
LLM,Loneliness,1
LLM,Loss_of_Consciousness,1
LLM,Loss_of_Memory_and_Focus,1
LLM,Loss_of_Oligodendrocytes,1
LLM,Loss_of_Physiological_Functions,7
LLM,Loss_of_Smell_and_Taste,1
LLM,Loss_of_taste_and_smell,1
LLM,Low_Grade_Inflammation,3
LLM,Lymphatic-cerebrospinal_fluid_(CSF)_route,6
LLM,Lymphatic_Nodes,1
LLM,Lymphocytes_unbalance,1
LLM,Lymphopenia,2
LLM,MIA_Stress_Anxiety_Depression,1
LLM,Macrophage_Activation,2
LLM,Major_Depressive_Disorder,1
LLM,Maladaptive_Cytokine_Profile,1
LLM,Mast_Cell_Activation,2
LLM,Meningeal_Impact,2
LLM,Meningitis,1
LLM,Metabolic_Disturbances,1
LLM,Micro_&_Macrovascular_Thrombosis,1
LLM,Microglia Activation,3
LLM,Microglia Polarization,3
LLM,Microglia_Activation,20
LLM,Microglia_Infection,1
LLM,Microglia_Priming,2
LLM,Microglia_Reactivity,1
LLM,Microglia_and_Astrocyte_Activation,2
LLM,Microglia_and_astrocyte_activation,2
LLM,Microglial_Activation,8
LLM,Microglial_activation,1
LLM,Microgliosis,1
LLM,Microhemorrhage,3
LLM,Microvascular_Damage,1
LLM,Microvascular_Thrombosis,3
LLM,Minor_Stroke_in_the_Community,1
LLM,Mitochondrial_Disruption,3
LLM,Mitochondrial_Dysfunction,1
LLM,Mitochondrial_dysfunction,2
LLM,Mitochondrial_involvement,1
LLM,Molecular_Mimicry,1
LLM,Monocyte_Activation,1
LLM,Monocyte_Expansion,1
LLM,Muscle_Cells_Proliferation,1
LLM,Muscle_mitochondrial_dysfunction,1
LLM,Myelination_Disruption,2
LLM,Myocardial_Injury,1
LLM,Myopathy,1
LLM,Myositis,1
LLM,N-M_junction_inflammation,1
LLM,NETs_Formation,2
LLM,NF-κB_Activation,5
LLM,NLPR3_Inflammasome_Activation,2
LLM,NLRP3_Inflammasome_Activation,5
LLM,NRP-3_Inflammasome,2
LLM,Nasal_Route_Entry,1
LLM,Natural_Products_Intervention,1
LLM,Neuro-COVID,1
LLM,Neuro-inflammation,2
LLM,Neuro-long_COVID,1
LLM,Neuro-muscular_injury,1
LLM,Neurodegeneration,3
LLM,Neurogenesis_Impairment,2
LLM,Neuroinflammation,21
LLM,Neuroinflammation/Iron Dysregulation Cycle,8
LLM,Neuroinvasion,3
LLM,Neuroinvasion_via_cranial_nerves,1
LLM,Neurological_Manifestation_after_COVID-19_Infection,1
LLM,Neurological_and_Neuropsychiatric_Alterations,1
LLM,Neurological_degeneration,1
LLM,Neuromuscular_Agitation,1
LLM,Neuronal/nervous_system_route,3
LLM,Neuronal_Cell_Death,2
LLM,Neuronal_Damage,2
LLM,Neuronal_Death,4
LLM,Neuronal_Impact,2
LLM,Neuronal_Infection,5
LLM,Neuronal_Interaction,1
LLM,Neuronal_Pathway,1
LLM,Neuronal_Retrograde_Route,3
LLM,Neuronal_Survival,1
LLM,Neuronal_apoptosis,1
LLM,Neuronal_infection,1
LLM,Neuropsychiatric_disorders,1
LLM,Neurotoxicity,2
LLM,Neurotropism,1
LLM,Neutrophils_and_NETs,1
LLM,Nicotinic_Cholinergic_System,2
LLM,Not_well-determined,1
LLM,Ocular_Entry,2
LLM,Ocular_Surface_Route,5
LLM,Olfactory_Bulb_Entry,1
LLM,Olfactory_Bulb_Impact,2
LLM,Olfactory_Bulb_Inflammation,1
LLM,Olfactory_Bulb_Invasion,2
LLM,Olfactory_Entry,1
LLM,Olfactory_Function_Restoration,4
LLM,Olfactory_Pathway_Invasion,5
LLM,Olfactory_Receptor_Neuron_Damage,2
LLM,Olfactory_Route,2
LLM,Olfactory_Sustentacular_Cell_Infection,2
LLM,Olfactory_System_Impact,3
LLM,Olfactory_and_Taste_Detection,2
LLM,Olfactory_epithelium_invasion,2
LLM,Olfactory_pathway_tropism,1
LLM,Olfactory_tract_invasion,2
LLM,Oligodendrocyte_Precursor_Alteration,2
LLM,Oligodendroglia_Damage,1
LLM,Ophthalmic_Entry,2
LLM,Oral_Cavity_Epithelium_Infection,1
LLM,Overactivation_of_T_Cells,1
LLM,Overproduction_of_Cytokines,2
LLM,Oxidative_Stress,4
LLM,Oxidative_Stress_Induced_DNA_Damage,1
LLM,P2X7R_Activation,2
LLM,PNS/muscle_involvement,5
LLM,Paracellular_Entry,1
LLM,Paracellular_route,2
LLM,Pathological_Angiogenesis,3
LLM,Pathological_aggregation,3
LLM,Patient_Preference_for_Home_Discharge,1
LLM,Pediatric_Acute-Onset_Neuropsychiatric_Syndrome,2
LLM,Pericyte_Damage,1
LLM,Peripheral_Infection_and_Immune_Response,1
LLM,Peripheral_Inflammation,1
LLM,Peripheral_Nerve_Activation,1
LLM,Peripheral_Nerve_System_Impact,3
LLM,Peripheral_organ_dysfunction,1
LLM,Perivascular_Inflammation,1
LLM,Permeability_Increase,1
LLM,Persistent_Cytokine_Release,2
LLM,Placental_Transfer,1
LLM,Platelet_Activation,4
LLM,Platelet_Dysfunction,1
LLM,Pontomedullary_Centers,1
LLM,Post-Infectious,5
LLM,Potential_Drug_Interaction,1
LLM,Pro-death_signaling_pathway_activation,1
LLM,Pro-fibrotic_state,2
LLM,Pro-inflammatory_Cytokines,1
LLM,Pro-inflammatory_state,2
LLM,Production_of_Effector_Molecules,1
LLM,Proinflammation,1
LLM,Proinflammatory_Cytokine_Release,1
LLM,Protein_Aggregation,6
LLM,Protein_Degradation,1
LLM,Prothrombotic_State,1
LLM,Psychological_Stress,11
LLM,Psychosocial_Interventions,2
LLM,Psychosocial_Stress,1
LLM,RAS_Activation,1
LLM,ROS_Production,2
LLM,Reactivation_of_Latent_Herpes-Viruses,2
LLM,Reactivation_of_Latent_Viruses,1
LLM,Recruitment_of_Tau,2
LLM,Reduced_Hippocampal_Neurogenesis,1
LLM,Renin-Angiotensin_System,2
LLM,Replication_in_Cranial_Nerves,1
LLM,Respiratory_Center_Impact,2
LLM,Respiratory_Complications,6
LLM,Respiratory_Epithelium_Infection,1
LLM,Respiratory_Failure,3
LLM,Retrograde_Transsynaptic_Route,2
LLM,Retrograde_neuronal_dissemination_through_Vagal_and_Trigeminal_nerve_afferents,2
LLM,SARS-CoV-2_Entry,1
LLM,SG_assembly,3
LLM,Sickness_and_Neurodegeneration,3
LLM,Side_Effects_of_Medication,1
LLM,Sleep_Deprivation,1
LLM,Spike_Protein_Binding,1
LLM,Spike_Protein_Interaction,3
LLM,Spread_Down_Olfactory_Nerve,1
LLM,Stasis,1
LLM,Stroke,1
LLM,Subcortical_White_Matter_Demyelination,1
LLM,Suicidality,1
LLM,Sustentacular_Cell_Infection,1
LLM,Synaptic_Alteration_and_Loss,1
LLM,Systemic_Disease,8
LLM,Systemic_Inflammation,9
LLM,Systemic_Inflammatory_Response,1
LLM,Systemic_inflammation,1
LLM,Th1/Th17_Polarization,1
LLM,Thrombus_Formation,1
LLM,Through_Blood_Brain_Barrier,2
LLM,Tongue_Impact,2
LLM,Trans-synaptic_Degeneration,2
LLM,Trans-synaptic_Transfer,2
LLM,Transcellular_Entry,2
LLM,Transcellular_migration,1
LLM,Transcribial_Route,1
LLM,Transcribrial_Neuroinvasive_Route,3
LLM,Transmucosal_invasion_through_olfactory_epithelium,1
LLM,Treg_Reduction,1
LLM,Trojan_Horse_Mechanism,2
LLM,Tryptophan_Metabolism,5
LLM,Type_I-IFN_dysregulated_production,1
LLM,Up-regulation,1
LLM,VD3_Modulation,3
LLM,Vasoconstriction,3
LLM,Via_Choroid_Plexus,2
LLM,Viral_Entry,2
LLM,Viral_Entry_Through_Olfactory_Bulb,3
LLM,Viral_Infection,5
LLM,Viral_Pathogen_Invasion,6
LLM,Viral_Protein_Synthesis,1
LLM,Viral_Replication,1
LLM,Viral_or_Viral_Protein_Effects,2
LLM,Viral_persistence,2
LLM,Viremia,2
LLM,Virus_Entry,1
LLM,Virus_replication,1
LLM,mPTP_opening,2
LLM,α-Synuclein_Accumulation,2
LLM,α-Synuclein_Aggregation,4
LLM-fulltext,5-HT_Depletion,1
LLM-fulltext,ACE-2_Depletion,1
LLM-fulltext,ACE-2_Downregulation,8
LLM-fulltext,ACE-2_Internalisation,1
LLM-fulltext,ACE-ACE2_Disruption,1
LLM-fulltext,ACE2-TMPRSS2_co-expression,4
LLM-fulltext,ACE2-independent_mechanism,1
LLM-fulltext,ACE2/Ag_II_disruption,3
LLM-fulltext,ACE2_Activation,2
LLM-fulltext,ACE2_Activity_Decrease,5
LLM-fulltext,ACE2_BDNF_regulation,2
LLM-fulltext,ACE2_Co-regulation,2
LLM-fulltext,ACE2_Deficiency,2
LLM-fulltext,ACE2_Depletion,15
LLM-fulltext,ACE2_Disruption,5
LLM-fulltext,ACE2_Dopamine_Decarboxylase_Co-expression,1
LLM-fulltext,ACE2_Down-Regulation,11
LLM-fulltext,ACE2_Downregulation,26
LLM-fulltext,ACE2_Dysregulation,1
LLM-fulltext,ACE2_Engagement,1
LLM-fulltext,ACE2_Expression,13
LLM-fulltext,ACE2_Expression_Alteration,6
LLM-fulltext,ACE2_Expression_Increase,2
LLM-fulltext,ACE2_Expression_Induction,1
LLM-fulltext,ACE2_Expression_Regulation,1
LLM-fulltext,ACE2_Expression_Variability,4
LLM-fulltext,ACE2_Expression_in_GI_Tract,1
LLM-fulltext,ACE2_Expression_in_Type_II_Alveolar_Epithelial_Cells,1
LLM-fulltext,ACE2_Imbalance,16
LLM-fulltext,ACE2_Interaction,4
LLM-fulltext,ACE2_Internalization,3
LLM-fulltext,ACE2_Mechanism,1
LLM-fulltext,ACE2_Modulation,8
LLM-fulltext,ACE2_Protein_Expression,4
LLM-fulltext,ACE2_Receptor_Binding,1
LLM-fulltext,ACE2_Receptor_Expression,1
LLM-fulltext,ACE2_Receptor_Interaction,3
LLM-fulltext,ACE2_Receptor_Mapping,1
LLM-fulltext,ACE2_Receptor_Mediated_Entry,1
LLM-fulltext,ACE2_Receptor_Mediation,1
LLM-fulltext,ACE2_Receptor_Presence,1
LLM-fulltext,ACE2_Reduction,1
LLM-fulltext,ACE2_Upregulation_in_AD,1
LLM-fulltext,ACE2_and_DPP4_Knockdown,1
LLM-fulltext,ACE2_binding,1
LLM-fulltext,ACE2_binding_and_RAS_activation,5
LLM-fulltext,ACE2_downregulation,2
LLM-fulltext,ACE2_expression,2
LLM-fulltext,ACE2_expression_in_enteric_nervous_system,1
LLM-fulltext,ACE2_expression_increase,2
LLM-fulltext,ACE2_pathways,1
LLM-fulltext,ACE2_receptor_expression,1
LLM-fulltext,ACE2_shedding,2
LLM-fulltext,ADAM-17_Upregulation,9
LLM-fulltext,ADAM17_Activation,3
LLM-fulltext,AD_Dementia_Progression,1
LLM-fulltext,AD_Risk_Variation,1
LLM-fulltext,ANE_Speculation,1
LLM-fulltext,APOE4_Impact_on_Brain,8
LLM-fulltext,APOE_Impact_on_COVID-19,11
LLM-fulltext,AT-II_Synthesis,1
LLM-fulltext,AT1R_Hyperactivation,5
LLM-fulltext,AT1R_Microglial_Activity,1
LLM-fulltext,AT1R_Overactivation,1
LLM-fulltext,AT2R_activation,2
LLM-fulltext,ATP_production_decrease,1
LLM-fulltext,Aberrant_Activation_Or_Suppression_Of_Metal_Ion_Channels,1
LLM-fulltext,Aberrant_Inflammation,1
LLM-fulltext,Aberrant_and_Excessive_Inflammation,1
LLM-fulltext,Aberrant_immune_engagement,1
LLM-fulltext,Abnormal_Immune_Response,1
LLM-fulltext,Abnormal_Inflammatory_Responses,1
LLM-fulltext,Absorptive_mediated_transcytosis,1
LLM-fulltext,Accelerated_Aging,1
LLM-fulltext,Activated_Monocytes,1
LLM-fulltext,Activation_of_Parasympathetic_NS,1
LLM-fulltext,Activation_of_complement_and_coagulation_cascades,1
LLM-fulltext,Activation_of_mononuclear_phagocytes,1
LLM-fulltext,Activation_of_pathogenic_antiphospholipid_antibodies,1
LLM-fulltext,Activation_of_the_Microglia,1
LLM-fulltext,Acute_Cardiac_Injury,1
LLM-fulltext,Acute_Inflammation,1
LLM-fulltext,Acute_Necrotizing_Hemorrhagic_Encephalopathy,3
LLM-fulltext,Adaptive_Immune_Suppression,2
LLM-fulltext,Age-related_comorbidities,1
LLM-fulltext,Aging_Vulnerability,4
LLM-fulltext,Allostatic_Interoceptive_Overload,2
LLM-fulltext,Alpha-synuclein_aggregation,2
LLM-fulltext,Alteration_of_ganglioside_composition,1
LLM-fulltext,Alteration_of_gut_microbiota,1
LLM-fulltext,Alteration_of_gut_physiology,1
LLM-fulltext,Alterations_in_neurovascular_and_cognition_functions,1
LLM-fulltext,Alterations_in_pain_and_sensory_signal_processing,1
LLM-fulltext,Alterations_of_brain_microvascular_endothelial_TJs,1
LLM-fulltext,Altered_Brain_Circulation,1
LLM-fulltext,Altered_Dopamine_Metabolism,1
LLM-fulltext,Altered_Endothelial_Cell_Function,1
LLM-fulltext,Altered_Fetal_Brain_Development,1
LLM-fulltext,Altered_Medication_Intake,1
LLM-fulltext,Altered_Microbiota_Gut–Brain_Axis,6
LLM-fulltext,Altered_Tryptophan_Metabolism,1
LLM-fulltext,Altered_dopamine_metabolism_and_receptor_signaling,1
LLM-fulltext,Altered_dopaminergic_medication,2
LLM-fulltext,Altered_glucose_and_lipid_metabolism,1
LLM-fulltext,Altered_transport_of_dopaminergic_drugs,1
LLM-fulltext,Altered_vascular_homeostasis,1
LLM-fulltext,Alternative_RAS_Activation,9
LLM-fulltext,Alzheimer's_Disease_Risk,1
LLM-fulltext,Amelioration_of_Neurological_Symptoms,2
LLM-fulltext,Amyloid-Beta_Accumulation,1
LLM-fulltext,Amyloid-β_Enhancement_of_Spike_Protein_Binding,1
LLM-fulltext,Amyloid_Accumulation,4
LLM-fulltext,Amyloid_Assembly,1
LLM-fulltext,Amyloid_Deposition,2
LLM-fulltext,Amyloid_Fibril_Formation,2
LLM-fulltext,Amyloid_Fibril_Formation_Acceleration,1
LLM-fulltext,Amyloid_Formation,11
LLM-fulltext,Amyloid_Pathology,2
LLM-fulltext,Amyloid_Precursor_Protein_Promotion,2
LLM-fulltext,Amyloid_Production,1
LLM-fulltext,Amyloid_Toxicity_Increase,1
LLM-fulltext,Amyloidogenic_Sequences_in_Nucleocapsid_Protein,2
LLM-fulltext,Anaerobic_Metabolism,1
LLM-fulltext,Ang_II_Accumulation,5
LLM-fulltext,Ang_II_Impact_on_Brain,10
LLM-fulltext,Ang_II_Increase,1
LLM-fulltext,Angiotensin_II_Increase,1
LLM-fulltext,Angiotensin_II_Mediated_Damage,1
LLM-fulltext,Anosmia,4
LLM-fulltext,Anosmia_Caused_By_Nasal_Inflammation,1
LLM-fulltext,Anosmia_Hyposmia,1
LLM-fulltext,Anosmia_Hyposmia_Ageusia,1
LLM-fulltext,Anosmia_onset,1
LLM-fulltext,Anterograde_and_Transsynaptic_Degeneration,1
LLM-fulltext,Anterograde_and_Transsynaptic_Transport,1
LLM-fulltext,Anti-NMDA_Receptor_Antibodies,1
LLM-fulltext,Anti-inflammatory_Cytokine_Expression,1
LLM-fulltext,Anti-inflammatory_Immune_Response,1
LLM-fulltext,Anti-phospholipid_antibodies_impact,3
LLM-fulltext,Antibody-Dependent_Enhancement,3
LLM-fulltext,Antibody-Mediated_Attack,1
LLM-fulltext,Antibody_Based_Enrichment,2
LLM-fulltext,Antibody_Cross-Reactivity,2
LLM-fulltext,Antibody_Generation,2
LLM-fulltext,Antibody_Production,1
LLM-fulltext,Antibody_elevation,1
LLM-fulltext,Antigen_Presentation,1
LLM-fulltext,Antineuronal_Autoimmune_Dysregulation,1
LLM-fulltext,Antiphospholipid_Autoantibodies_Formation,1
LLM-fulltext,ApoE4_Association_with_COVID-19,1
LLM-fulltext,ApoE4_Predicts_COVID-19_Pathogenesis,1
LLM-fulltext,ApoE_ε4_Allele_Facilitation,1
LLM-fulltext,ApoErs429358_Polymorphism_Risk,1
LLM-fulltext,Apoptosis,1
LLM-fulltext,Arrhythmia,1
LLM-fulltext,Arteriosclerosis,1
LLM-fulltext,Astrocyte_Activation,62
LLM-fulltext,Astrocyte_Alteration,1
LLM-fulltext,Astrocyte_Infection,2
LLM-fulltext,Astrocyte_Interaction,1
LLM-fulltext,Astrocyte_Reactivity,2
LLM-fulltext,Astrocyte_Status_Alteration,1
LLM-fulltext,Astrocyte_and_Microglia_Activation,1
LLM-fulltext,Astrocyte_and_Microglia_Alteration,1
LLM-fulltext,Astrocyte_and_Microglia_Performance,1
LLM-fulltext,Astrocyte_and_Pericyte_Infection,1
LLM-fulltext,Astrocytic_Reactivity,1
LLM-fulltext,Astrocytic_Subclusters,1
LLM-fulltext,Astroglial_Over-reactivity,1
LLM-fulltext,Astrogliosis,5
LLM-fulltext,Astrogliosis_and_Microglial_Nodule_Formation,5
LLM-fulltext,Atherosclerotic_Plaque_Formation,1
