URL;Pathophysiological Process;Subject;Predicate;Object;Image_number;Source;Normalized_Input;Category
https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg;Gut_Dysbiosis;Gut_dysbiosis;affects;dopamine_decarboxylase;image_1;LLM;gut dysbiosis dopamine decarboxylase;Systemic Cross-Organ Effects
https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g001-550.jpg;Gut_Dysbiosis;ACE2_receptor;is_involved_in;gut_dysbiosis;image_1;LLM;ace2 receptor gut dysbiosis;Viral Entry and Neuroinvasion
https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg;Glial_Cells_Activation;COVID-19;affects;circumventricular_organs;image_2;LLM;covid 19 circumventricular organs;Systemic Cross-Organ Effects
https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg;Glial_Cells_Activation;Lockdown_Psychosocial_Stress;induces;glial_cells_activation;image_2;LLM;lockdown psychosocial stress glial cells activation;Psychological and Neurological Symptoms
https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg;Glial_Cells_Activation;COVID-19;causes;peripheral_inflammation;image_2;LLM;covid 19 peripheral inflammation;Systemic Cross-Organ Effects
https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg;Glial_Cells_Activation;Peripheral_inflammation;releases;inflammatory_cytokines;image_2;LLM;peripheral inflammation inflammatory cytokines;Immune and Inflammatory Response
https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg;Glial_Cells_Activation;Inflammatory_cytokines;activate;HPA;image_2;LLM;inflammatory cytokines hpa;Immune and Inflammatory Response
https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg;Glial_Cells_Activation;HPA;influences;glial_cells_activation;image_2;LLM;hpa glial cells activation;Uncategorized
https://aini.it/wp-content/uploads/2020/10/41398_2020_949_Fig1_HTML.jpg;Glial_Cells_Activation;Glial_cells_activation;contributes_to;neuropsychiatric_disorders;image_2;LLM;glial cells activation neuropsychiatric disorders;Viral Entry and Neuroinvasion
https://www.mdpi.com/cells/cells-12-00684/article_deploy/html/images/cells-12-00684-g004.png;Molecular_Mimicry;SARS-CoV-2;mimics;CNS_epitopes;image_3;LLM;sars cov 2 cns epitopes;Systemic Cross-Organ Effects
https://www.mdpi.com/cells/cells-12-00684/article_deploy/html/images/cells-12-00684-g004.png;Leukocyte_Migration;Pro-inflammatory_lung_environment;affects;leukocyte_migration_to_CNS;image_3;LLM;pro inflammatory lung environment leukocyte migration to cns;Systemic Cross-Organ Effects
https://www.mdpi.com/cells/cells-12-00684/article_deploy/html/images/cells-12-00684-g004.png;Gut_Microbiota_Dysbiosis;SARS-CoV-2;causes;gut_microbiota_dysbiosis;image_3;LLM;sars cov 2 gut microbiota dysbiosis;Systemic Cross-Organ Effects
https://www.mdpi.com/cells/cells-12-00684/article_deploy/html/images/cells-12-00684-g004.png;BBB_Disruption;SARS-CoV-2;triggers;BBB_disruption;image_3;LLM;sars cov 2 bbb disruption;Systemic Cross-Organ Effects
https://www.mdpi.com/cells/cells-12-00684/article_deploy/html/images/cells-12-00684-g004.png;Th1/Th17_Polarization;SARS-CoV-2;induces;Th1/Th17_polarization;image_3;LLM;sars cov 2 th1/th17 polarization;Systemic Cross-Organ Effects
https://www.mdpi.com/cells/cells-12-00684/article_deploy/html/images/cells-12-00684-g004.png;NLRP3_Activation;SARS-CoV-2;activates;NLRP3;image_3;LLM;sars cov 2 nlrp3;Systemic Cross-Organ Effects
https://www.mdpi.com/cells/cells-12-00684/article_deploy/html/images/cells-12-00684-g004.png;Microglia_Infection;SARS-CoV-2;infects;microglia;image_3;LLM;sars cov 2 microglia;Systemic Cross-Organ Effects
https://www.mdpi.com/cells/cells-12-00684/article_deploy/html/images/cells-12-00684-g004.png;Demyelination;SARS-CoV-2;causes;demyelination;image_3;LLM;sars cov 2 demyelination;Systemic Cross-Organ Effects
https://www.mdpi.com/cells/cells-12-00684/article_deploy/html/images/cells-12-00684-g004.png;Treg_Reduction;SARS-CoV-2;reduces;number_of_Tregs;image_3;LLM;sars cov 2 number of tregs;Systemic Cross-Organ Effects
https://media.springernature.com/w215h120/springer-static/image/art%3A10.1038%2Fs41583-023-00769-8/MediaObjects/41583_2023_769_Fig1_HTML.png;Cerebrovascular_and_Endothelial_Disease;SARS-CoV-2_infection;causes;cerebrovascular_disease;image_5;LLM;sars cov 2 infection cerebrovascular disease;Systemic Cross-Organ Effects
https://media.springernature.com/w215h120/springer-static/image/art%3A10.1038%2Fs41583-023-00769-8/MediaObjects/41583_2023_769_Fig1_HTML.png;Cerebrovascular_and_Endothelial_Disease;SARS-CoV-2_infection;causes;endothelial_disease;image_5;LLM;sars cov 2 infection endothelial disease;Systemic Cross-Organ Effects
https://media.springernature.com/w215h120/springer-static/image/art%3A10.1038%2Fs41583-023-00769-8/MediaObjects/41583_2023_769_Fig1_HTML.png;Viral_or_Viral_Protein_Effects;Viral_proteins;affect;CNS_cells;image_5;LLM;viral proteins cns cells;Vascular Effects
https://media.springernature.com/w215h120/springer-static/image/art%3A10.1038%2Fs41583-023-00769-8/MediaObjects/41583_2023_769_Fig1_HTML.png;Viral_or_Viral_Protein_Effects;Viral_proteins;affect;CNS_barrier_cells;image_5;LLM;viral proteins cns barrier cells;Viral Entry and Neuroinvasion
https://media.springernature.com/w215h120/springer-static/image/art%3A10.1038%2Fs41583-023-00769-8/MediaObjects/41583_2023_769_Fig1_HTML.png;Autoimmune_Mechanisms;SARS-CoV-2_infection;triggers;autoimmune_mechanisms;image_5;LLM;sars cov 2 infection autoimmune mechanisms;Systemic Cross-Organ Effects
https://media.springernature.com/w215h120/springer-static/image/art%3A10.1038%2Fs41583-023-00769-8/MediaObjects/41583_2023_769_Fig1_HTML.png;Peripheral_Infection_and_Immune_Response;Peripheral_infection;induces;immune_response;image_5;LLM;peripheral infection immune response;Immune and Inflammatory Response
https://media.springernature.com/w215h120/springer-static/image/art%3A10.1038%2Fs41583-023-00769-8/MediaObjects/41583_2023_769_Fig1_HTML.png;Reactivation_of_Latent_Viruses;SARS-CoV-2_infection;reactivates;latent_viruses;image_5;LLM;sars cov 2 infection latent viruses;Systemic Cross-Organ Effects
https://media.springernature.com/w215h120/springer-static/image/art%3A10.1038%2Fs41583-023-00769-8/MediaObjects/41583_2023_769_Fig1_HTML.png;Hypoxia_due_to_Lung_Injury;Lung_injury;causes;hypoxia;image_5;LLM;lung injury hypoxia;Systemic Cross-Organ Effects
https://media.springernature.com/w215h120/springer-static/image/art%3A10.1038%2Fs41583-023-00769-8/MediaObjects/41583_2023_769_Fig1_HTML.png;Metabolic_Disturbances;SARS-CoV-2_infection;causes;metabolic_disturbances;image_5;LLM;sars cov 2 infection metabolic disturbances;Systemic Cross-Organ Effects
https://media.springernature.com/w215h120/springer-static/image/art%3A10.1038%2Fs41583-023-00769-8/MediaObjects/41583_2023_769_Fig1_HTML.png;Side_Effects_of_Medication;Medication;causes;side_effects;image_5;LLM;medication side effects;Psychological and Neurological Symptoms
https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs00702-022-02500-w/MediaObjects/702_2022_2500_Fig2_HTML.png;Viral_Entry;SARS-CoV-2;binds;ACE2;image_7;LLM;sars cov 2 ace2;Systemic Cross-Organ Effects
https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs00702-022-02500-w/MediaObjects/702_2022_2500_Fig2_HTML.png;Viral_Entry;SARS-CoV-2;utilizes;TMPRSS2;image_7;LLM;sars cov 2 tmprss2;Systemic Cross-Organ Effects
https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs00702-022-02500-w/MediaObjects/702_2022_2500_Fig2_HTML.png;Immune_Response;Th1;releases;IFNγ;image_7;LLM;th1 ifnγ;Viral Entry and Neuroinvasion
https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs00702-022-02500-w/MediaObjects/702_2022_2500_Fig2_HTML.png;Immune_Response;Th1;releases;TNFα;image_7;LLM;th1 tnfα;Immune and Inflammatory Response
https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs00702-022-02500-w/MediaObjects/702_2022_2500_Fig2_HTML.png;Inflammation;SARS-CoV-2_infection;causes;inflammation;image_7;LLM;sars cov 2 infection inflammation;Systemic Cross-Organ Effects
https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs00702-022-02500-w/MediaObjects/702_2022_2500_Fig2_HTML.png;Axonal_Injury;SARS-CoV-2_infection;leads_to;axonal_injury;image_7;LLM;sars cov 2 infection axonal injury;Systemic Cross-Organ Effects
https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs00702-022-02500-w/MediaObjects/702_2022_2500_Fig2_HTML.png;Axonal_Injury;Axonal_injury;increases;NfL;image_7;LLM;axonal injury nfl;Viral Entry and Neuroinvasion
https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs00702-022-02500-w/MediaObjects/702_2022_2500_Fig2_HTML.png;Protein_Aggregation;SARS-CoV-2_infection;induces;Tdp-43;image_7;LLM;sars cov 2 infection tdp 43;Systemic Cross-Organ Effects
https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs00702-022-02500-w/MediaObjects/702_2022_2500_Fig2_HTML.png;Protein_Aggregation;SARS-CoV-2_infection;induces;α-Syn;image_7;LLM;sars cov 2 infection α syn;Systemic Cross-Organ Effects
https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs00702-022-02500-w/MediaObjects/702_2022_2500_Fig2_HTML.png;Protein_Aggregation;SARS-CoV-2_infection;induces;Tau;image_7;LLM;sars cov 2 infection tau;Systemic Cross-Organ Effects
https://whn.global/app/uploads/2023/01/ConsequencesofCovInfection.png;Systemic_Disease;SARS_CoV-2_infection;causes;MOF;image_8;LLM;sars cov 2 infection mof;Systemic Cross-Organ Effects
https://whn.global/app/uploads/2023/01/ConsequencesofCovInfection.png;Systemic_Disease;MOF;leads_to;Hypoxic/Metabolic_Encephalopathy;image_8;LLM;mof hypoxic/metabolic encephalopathy;Systemic Cross-Organ Effects
https://whn.global/app/uploads/2023/01/ConsequencesofCovInfection.png;Systemic_Disease;SARS_CoV-2_infection;causes;Coagulopathy;image_8;LLM;sars cov 2 infection coagulopathy;Systemic Cross-Organ Effects
https://whn.global/app/uploads/2023/01/ConsequencesofCovInfection.png;Systemic_Disease;Coagulopathy;leads_to;Stroke;image_8;LLM;coagulopathy stroke;Vascular Effects
https://whn.global/app/uploads/2023/01/ConsequencesofCovInfection.png;Systemic_Disease;SARS_CoV-2_infection;causes;Inflammation;image_8;LLM;sars cov 2 infection inflammation;Systemic Cross-Organ Effects
https://whn.global/app/uploads/2023/01/ConsequencesofCovInfection.png;Systemic_Disease;Inflammation;leads_to;Inflammatory_Encephalopathy;image_8;LLM;inflammation inflammatory encephalopathy;Immune and Inflammatory Response
https://whn.global/app/uploads/2023/01/ConsequencesofCovInfection.png;Systemic_Disease;Inflammation;leads_to;Encephalitis*;image_8;LLM;inflammation encephalitis*;Immune and Inflammatory Response
https://whn.global/app/uploads/2023/01/ConsequencesofCovInfection.png;Systemic_Disease;Inflammation;leads_to;Kawasaki-Like;image_8;LLM;inflammation kawasaki like;Immune and Inflammatory Response
https://whn.global/app/uploads/2023/01/ConsequencesofCovInfection.png;CNS_Invasion;SARS_CoV-2_infection;causes;CNS_Invasion;image_8;LLM;sars cov 2 infection cns invasion;Systemic Cross-Organ Effects
https://whn.global/app/uploads/2023/01/ConsequencesofCovInfection.png;CNS_Invasion;CNS_Invasion;leads_to;Cell_death/dysfunction;image_8;LLM;cns invasion cell death/dysfunction;Neurodegenerative Mechanisms
https://whn.global/app/uploads/2023/01/ConsequencesofCovInfection.png;CNS_Invasion;Cell_death/dysfunction;causes;Viral_Encephalitis*;image_8;LLM;cell death/dysfunction viral encephalitis*;Immune and Inflammatory Response
https://whn.global/app/uploads/2023/01/ConsequencesofCovInfection.png;CNS_Invasion;Cell_death/dysfunction;causes;Viral_Meningitis*;image_8;LLM;cell death/dysfunction viral meningitis*;Neurodegenerative Mechanisms
https://whn.global/app/uploads/2023/01/ConsequencesofCovInfection.png;CNS_Invasion;Cell_death/dysfunction;causes;Viral_Endotheliitis*;image_8;LLM;cell death/dysfunction viral endotheliitis*;Vascular Effects
https://whn.global/app/uploads/2023/01/ConsequencesofCovInfection.png;PNS/muscle_involvement;SARS_CoV-2_infection;causes;PNS/muscle_involvement;image_8;LLM;sars cov 2 infection pns/muscle involvement;Systemic Cross-Organ Effects
https://whn.global/app/uploads/2023/01/ConsequencesofCovInfection.png;PNS/muscle_involvement;PNS/muscle_involvement;leads_to;Cell_death/dysfunction;image_8;LLM;pns/muscle involvement cell death/dysfunction;Neurodegenerative Mechanisms
https://whn.global/app/uploads/2023/01/ConsequencesofCovInfection.png;PNS/muscle_involvement;Cell_death/dysfunction;causes;Anosmia/Ageusia;image_8;LLM;cell death/dysfunction anosmia/ageusia;Neurodegenerative Mechanisms
https://whn.global/app/uploads/2023/01/ConsequencesofCovInfection.png;PNS/muscle_involvement;Cell_death/dysfunction;causes;Neuropathy(?);image_8;LLM;cell death/dysfunction neuropathy(?);Neurodegenerative Mechanisms
https://whn.global/app/uploads/2023/01/ConsequencesofCovInfection.png;PNS/muscle_involvement;Cell_death/dysfunction;causes;Muscle_injury;image_8;LLM;cell death/dysfunction muscle injury;Neurodegenerative Mechanisms
https://whn.global/app/uploads/2023/01/ConsequencesofCovInfection.png;Post-Infectious;SARS_CoV-2_infection;causes;Post-Infectious;image_8;LLM;sars cov 2 infection post infectious;Systemic Cross-Organ Effects
https://whn.global/app/uploads/2023/01/ConsequencesofCovInfection.png;Post-Infectious;Post-Infectious;leads_to;Immune-mediated;image_8;LLM;post infectious immune mediated;Immune and Inflammatory Response
https://whn.global/app/uploads/2023/01/ConsequencesofCovInfection.png;Post-Infectious;Immune-mediated;causes;GBS_&_Variants;image_8;LLM;immune mediated gbs & variants;Viral Entry and Neuroinvasion
https://whn.global/app/uploads/2023/01/ConsequencesofCovInfection.png;Post-Infectious;Immune-mediated;causes;ADEM;image_8;LLM;immune mediated adem;Immune and Inflammatory Response
https://whn.global/app/uploads/2023/01/ConsequencesofCovInfection.png;Post-Infectious;Immune-mediated;causes;ANE;image_8;LLM;immune mediated ane;Immune and Inflammatory Response
https://europepmc.org/api/fulltextRepo?pprId=PPR466471&type=FILE&fileName=EMS147424-f005.jpg&mimeType=image/jpeg;Activated_Macrophage_Infiltration;SARS-CoV-2_infection;causes;activated_macrophage_infiltration;image_9;LLM;sars cov 2 infection activated macrophage infiltration;Systemic Cross-Organ Effects
https://europepmc.org/api/fulltextRepo?pprId=PPR466471&type=FILE&fileName=EMS147424-f005.jpg&mimeType=image/jpeg;Activated_Macrophage_Infiltration;Activated_macrophages;express;MSR1;image_9;LLM;activated macrophages msr1;Immune and Inflammatory Response
https://europepmc.org/api/fulltextRepo?pprId=PPR466471&type=FILE&fileName=EMS147424-f005.jpg&mimeType=image/jpeg;B-cell_Infiltration;SARS-CoV-2_infection;leads_to;B-cell_infiltration;image_9;LLM;sars cov 2 infection b cell infiltration;Systemic Cross-Organ Effects
https://europepmc.org/api/fulltextRepo?pprId=PPR466471&type=FILE&fileName=EMS147424-f005.jpg&mimeType=image/jpeg;B-cell_Infiltration;B-cells;produce;anti-dsDNA_IgG/IgA;image_9;LLM;b cells anti dsdna igg/iga;Viral Entry and Neuroinvasion
https://europepmc.org/api/fulltextRepo?pprId=PPR466471&type=FILE&fileName=EMS147424-f005.jpg&mimeType=image/jpeg;BBB_Disruption;SARS-CoV-2_infection;results_in;BBB_disruption;image_9;LLM;sars cov 2 infection bbb disruption;Systemic Cross-Organ Effects
https://europepmc.org/api/fulltextRepo?pprId=PPR466471&type=FILE&fileName=EMS147424-f005.jpg&mimeType=image/jpeg;BBB_Disruption;BBB_disruption;involves;TNFRSF12A_IL-6_VEGFA_EN-RAGE;image_9;LLM;bbb disruption tnfrsf12a il 6 vegfa en rage;Vascular Effects
https://europepmc.org/api/fulltextRepo?pprId=PPR466471&type=FILE&fileName=EMS147424-f005.jpg&mimeType=image/jpeg;Astrogliosis;SARS-CoV-2_infection;induces;astrogliosis;image_9;LLM;sars cov 2 infection astrogliosis;Systemic Cross-Organ Effects
https://europepmc.org/api/fulltextRepo?pprId=PPR466471&type=FILE&fileName=EMS147424-f005.jpg&mimeType=image/jpeg;Microgliosis;SARS-CoV-2_infection;triggers;microgliosis;image_9;LLM;sars cov 2 infection microgliosis;Systemic Cross-Organ Effects
https://europepmc.org/api/fulltextRepo?pprId=PPR466471&type=FILE&fileName=EMS147424-f005.jpg&mimeType=image/jpeg;Neuronal_Damage;SARS-CoV-2_infection;causes;neuronal_damage;image_9;LLM;sars cov 2 infection neuronal damage;Systemic Cross-Organ Effects
https://europepmc.org/api/fulltextRepo?pprId=PPR466471&type=FILE&fileName=EMS147424-f005.jpg&mimeType=image/jpeg;Neuronal_Damage;Neuronal_damage;involves;EZR_4E-BP1;image_9;LLM;neuronal damage ezr 4e bp1;Systemic Cross-Organ Effects
https://europepmc.org/api/fulltextRepo?pprId=PPR466471&type=FILE&fileName=EMS147424-f005.jpg&mimeType=image/jpeg;Microvascular_Damage;SARS-CoV-2_infection;leads_to;microvascular_damage;image_9;LLM;sars cov 2 infection microvascular damage;Systemic Cross-Organ Effects
https://images-provider.frontiersin.org/api/ipx/w=1200&f=png/https://www.frontiersin.org/files/Articles/592214/fncel-14-592214-HTML/image_m/fncel-14-592214-g001.jpg;Production_of_Effector_Molecules;SARS-CoV-2_infection;induces;pro-inflammatory_cytokines;image_10;LLM;sars cov 2 infection pro inflammatory cytokines;Systemic Cross-Organ Effects
https://images-provider.frontiersin.org/api/ipx/w=1200&f=png/https://www.frontiersin.org/files/Articles/592214/fncel-14-592214-HTML/image_m/fncel-14-592214-g001.jpg;Production_of_Effector_Molecules;SARS-CoV-2_infection;produces;autoantibodies;image_10;LLM;sars cov 2 infection autoantibodies;Systemic Cross-Organ Effects
https://images-provider.frontiersin.org/api/ipx/w=1200&f=png/https://www.frontiersin.org/files/Articles/592214/fncel-14-592214-HTML/image_m/fncel-14-592214-g001.jpg;Blood-brain_Barrier_Leakage;SARS-CoV-2_infection;causes;blood-brain_barrier_leakage;image_10;LLM;sars cov 2 infection blood brain barrier leakage;Systemic Cross-Organ Effects
https://images-provider.frontiersin.org/api/ipx/w=1200&f=png/https://www.frontiersin.org/files/Articles/592214/fncel-14-592214-HTML/image_m/fncel-14-592214-g001.jpg;Blood-brain_Barrier_Leakage;Blood-brain_barrier_leakage;leads_to;haemorrhage;image_10;LLM;blood brain barrier leakage haemorrhage;Viral Entry and Neuroinvasion
https://images-provider.frontiersin.org/api/ipx/w=1200&f=png/https://www.frontiersin.org/files/Articles/592214/fncel-14-592214-HTML/image_m/fncel-14-592214-g001.jpg;Blood-brain_Barrier_Leakage;Blood-brain_barrier_leakage;results_in;leukocytes_infiltration;image_10;LLM;blood brain barrier leakage leukocytes infiltration;Viral Entry and Neuroinvasion
https://images-provider.frontiersin.org/api/ipx/w=1200&f=png/https://www.frontiersin.org/files/Articles/592214/fncel-14-592214-HTML/image_m/fncel-14-592214-g001.jpg;Cell_Infection;SARS-CoV-2;binds_to;ACE2;image_10;LLM;sars cov 2 ace2;Systemic Cross-Organ Effects
https://images-provider.frontiersin.org/api/ipx/w=1200&f=png/https://www.frontiersin.org/files/Articles/592214/fncel-14-592214-HTML/image_m/fncel-14-592214-g001.jpg;Cell_Infection;SARS-CoV-2;interacts_with;TCP2;image_10;LLM;sars cov 2 tcp2;Systemic Cross-Organ Effects
https://images-provider.frontiersin.org/api/ipx/w=1200&f=png/https://www.frontiersin.org/files/Articles/592214/fncel-14-592214-HTML/image_m/fncel-14-592214-g001.jpg;Loss_of_Physiological_Functions;SARS-CoV-2_infection;causes;cellular_stress;image_10;LLM;sars cov 2 infection cellular stress;Systemic Cross-Organ Effects
https://images-provider.frontiersin.org/api/ipx/w=1200&f=png/https://www.frontiersin.org/files/Articles/592214/fncel-14-592214-HTML/image_m/fncel-14-592214-g001.jpg;Loss_of_Physiological_Functions;SARS-CoV-2_infection;leads_to;degeneration;image_10;LLM;sars cov 2 infection degeneration;Systemic Cross-Organ Effects
https://images-provider.frontiersin.org/api/ipx/w=1200&f=png/https://www.frontiersin.org/files/Articles/592214/fncel-14-592214-HTML/image_m/fncel-14-592214-g001.jpg;Loss_of_Physiological_Functions;SARS-CoV-2_infection;results_in;synaptic_alterations;image_10;LLM;sars cov 2 infection synaptic alterations;Systemic Cross-Organ Effects
https://images-provider.frontiersin.org/api/ipx/w=1200&f=png/https://www.frontiersin.org/files/Articles/592214/fncel-14-592214-HTML/image_m/fncel-14-592214-g001.jpg;Loss_of_Physiological_Functions;SARS-CoV-2_infection;triggers;reactivity;image_10;LLM;sars cov 2 infection reactivity;Systemic Cross-Organ Effects
https://images-provider.frontiersin.org/api/ipx/w=1200&f=png/https://www.frontiersin.org/files/Articles/592214/fncel-14-592214-HTML/image_m/fncel-14-592214-g001.jpg;Loss_of_Physiological_Functions;SARS-CoV-2_infection;induces;astrogliosis;image_10;LLM;sars cov 2 infection astrogliosis;Systemic Cross-Organ Effects
https://images-provider.frontiersin.org/api/ipx/w=1200&f=png/https://www.frontiersin.org/files/Articles/592214/fncel-14-592214-HTML/image_m/fncel-14-592214-g001.jpg;Loss_of_Physiological_Functions;SARS-CoV-2_infection;causes;priming;image_10;LLM;sars cov 2 infection priming;Systemic Cross-Organ Effects
https://images-provider.frontiersin.org/api/ipx/w=1200&f=png/https://www.frontiersin.org/files/Articles/592214/fncel-14-592214-HTML/image_m/fncel-14-592214-g001.jpg;Loss_of_Physiological_Functions;SARS-CoV-2_infection;leads_to;phagocytosis;image_10;LLM;sars cov 2 infection phagocytosis;Systemic Cross-Organ Effects
https://images-provider.frontiersin.org/api/ipx/w=1200&f=png/https://www.frontiersin.org/files/Articles/592214/fncel-14-592214-HTML/image_m/fncel-14-592214-g001.jpg;Loss_of_Physiological_Functions;SARS-CoV-2_infection;results_in;inflammation;image_10;LLM;sars cov 2 infection inflammation;Systemic Cross-Organ Effects
https://images-provider.frontiersin.org/api/ipx/w=1200&f=png/https://www.frontiersin.org/files/Articles/592214/fncel-14-592214-HTML/image_m/fncel-14-592214-g001.jpg;Loss_of_Physiological_Functions;SARS-CoV-2_infection;may_cause;demyelination;image_10;LLM;sars cov 2 infection demyelination;Systemic Cross-Organ Effects
https://www.mdpi.com/ijms/ijms-22-04081/article_deploy/html/images/ijms-22-04081-g001.png;Transcellular_migration;SARS-CoV-2;enters;endothelial_cell;image_11;LLM;sars cov 2 endothelial cell;Systemic Cross-Organ Effects
https://www.mdpi.com/ijms/ijms-22-04081/article_deploy/html/images/ijms-22-04081-g001.png;Transcellular_migration;Endothelial_cell;transports;SARS-CoV-2;image_11;LLM;endothelial cell sars cov 2;Systemic Cross-Organ Effects
https://www.mdpi.com/ijms/ijms-22-04081/article_deploy/html/images/ijms-22-04081-g001.png;Trojan_Horse_Mechanism;SARS-CoV-2;infects;monocyte;image_11;LLM;sars cov 2 monocyte;Systemic Cross-Organ Effects
https://www.mdpi.com/ijms/ijms-22-04081/article_deploy/html/images/ijms-22-04081-g001.png;Trojan_Horse_Mechanism;Monocyte;carries;SARS-CoV-2;image_11;LLM;monocyte sars cov 2;Systemic Cross-Organ Effects
https://www.mdpi.com/ijms/ijms-22-04081/article_deploy/html/images/ijms-22-04081-g001.png;Paracellular_route;SARS-CoV-2;disrupts;tight_junction;image_11;LLM;sars cov 2 tight junction;Systemic Cross-Organ Effects
https://www.mdpi.com/ijms/ijms-22-04081/article_deploy/html/images/ijms-22-04081-g001.png;Paracellular_route;Tight_junction;allows;SARS-CoV-2_passage;image_11;LLM;tight junction sars cov 2 passage;Systemic Cross-Organ Effects
https://www.mdpi.com/ijms/ijms-22-04081/article_deploy/html/images/ijms-22-04081-g001.png;Olfactory_epithelium_invasion;SARS-CoV-2;infects;sustentacular_cells;image_11;LLM;sars cov 2 sustentacular cells;Systemic Cross-Organ Effects
https://www.mdpi.com/ijms/ijms-22-04081/article_deploy/html/images/ijms-22-04081-g001.png;Olfactory_epithelium_invasion;Sustentacular_cells;support;olfactory_neurons;image_11;LLM;sustentacular cells olfactory neurons;Viral Entry and Neuroinvasion
https://www.mdpi.com/ijms/ijms-22-04081/article_deploy/html/images/ijms-22-04081-g001.png;Olfactory_tract_invasion;SARS-CoV-2;travels;olfactory_tract;image_11;LLM;sars cov 2 olfactory tract;Systemic Cross-Organ Effects
https://www.mdpi.com/ijms/ijms-22-04081/article_deploy/html/images/ijms-22-04081-g001.png;Olfactory_tract_invasion;Olfactory_tract;connects;olfactory_bulb_to_brain;image_11;LLM;olfactory tract olfactory bulb to brain;Viral Entry and Neuroinvasion
