Image_number,URL,PMID,Pathophysiological_Process,Anatomy,Cell,Subject,Predicate,Object,Source,Normalized_Input,Category
image_3,https://www.mdpi.com/cells/cells-12-00684/article_deploy/html/images/cells-12-00684-g004.png,36899820,Missing,Blood-Brain Barrier,Missing,COVID-19,increases,NLRP3 inflammasome complex assembly,CBM,covid 19 nlrp3 inflammasome complex assembly,Systemic Cross-Organ Effects
image_3,https://www.mdpi.com/cells/cells-12-00684/article_deploy/html/images/cells-12-00684-g004.png,36899820,Missing,Microglia,Missing,COVID-19,increases,demyelination,CBM,covid 19 demyelination,Systemic Cross-Organ Effects
image_3,https://www.mdpi.com/cells/cells-12-00684/article_deploy/html/images/cells-12-00684-g004.png,36899820,Missing,Microglia,Missing,COVID-19,decreases,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",CBM,"covid 19 cd4 positive, cd25 positive, alpha beta regulatory t cell",Viral Entry and Neuroinvasion
image_4,https://nihcm.org/assets/articles/october-2022-newsletter_2022-10-06-133045.png,Not_found,COVID-19,Missing,Missing,COVID-19,increases,Abnormality of the nervous system,CBM,covid 19 abnormality of the nervous system,Systemic Cross-Organ Effects
image_4,https://nihcm.org/assets/articles/october-2022-newsletter_2022-10-06-133045.png,Not_found,COVID-19,Missing,Missing,COVID-19,increases,Brain Injuries,CBM,covid 19 brain injuries,Systemic Cross-Organ Effects
image_4,https://nihcm.org/assets/articles/october-2022-newsletter_2022-10-06-133045.png,Not_found,COVID-19,Missing,Missing,COVID-19,increases,Mental deterioration,CBM,covid 19 mental deterioration,Systemic Cross-Organ Effects
image_4,https://nihcm.org/assets/articles/october-2022-newsletter_2022-10-06-133045.png,Not_found,COVID-19,Missing,Missing,COVID-19,increases,Brain fog,CBM,covid 19 brain fog,Psychological and Neurological Symptoms
image_4,https://nihcm.org/assets/articles/october-2022-newsletter_2022-10-06-133045.png,Not_found,COVID-19,Missing,Missing,COVID-19,increases,dementia,CBM,covid 19 dementia,Systemic Cross-Organ Effects
image_4,https://nihcm.org/assets/articles/october-2022-newsletter_2022-10-06-133045.png,Not_found,COVID-19,Missing,Missing,COVID-19,increases,psychotic disorder,CBM,covid 19 psychotic disorder,Systemic Cross-Organ Effects
image_4,https://nihcm.org/assets/articles/october-2022-newsletter_2022-10-06-133045.png,Not_found,COVID-19,Missing,Missing,COVID-19,increases,epilepsy,CBM,covid 19 epilepsy,Systemic Cross-Organ Effects
image_4,https://nihcm.org/assets/articles/october-2022-newsletter_2022-10-06-133045.png,Not_found,COVID-19,Missing,Missing,COVID-19,increases,seizure,CBM,covid 19 seizure,Systemic Cross-Organ Effects
image_5,https://media.springernature.com/w215h120/springer-static/image/art%3A10.1038%2Fs41583-023-00769-8/MediaObjects/41583_2023_769_Fig1_HTML.png,38049610,COVID-19,Central Nervous System,Missing,COVID-19,increases,Unusual CNS infection,CBM,covid 19 unusual cns infection,Systemic Cross-Organ Effects
image_5,https://media.springernature.com/w215h120/springer-static/image/art%3A10.1038%2Fs41583-023-00769-8/MediaObjects/41583_2023_769_Fig1_HTML.png,38049610,Missing,Missing,barrier cell,COVID-19,increases,infection,CBM,covid 19 infection,Systemic Cross-Organ Effects
image_5,https://media.springernature.com/w215h120/springer-static/image/art%3A10.1038%2Fs41583-023-00769-8/MediaObjects/41583_2023_769_Fig1_HTML.png,38049610,Missing,Missing,barrier cell,COVID-19,increases,cerebrovascular disease,CBM,covid 19 cerebrovascular disease,Systemic Cross-Organ Effects
image_5,https://media.springernature.com/w215h120/springer-static/image/art%3A10.1038%2Fs41583-023-00769-8/MediaObjects/41583_2023_769_Fig1_HTML.png,38049610,Missing,Missing,barrier cell,cerebrovascular disease,increases,ischemia,CBM,cerebrovascular disease ischemia,Vascular Effects
image_5,https://media.springernature.com/w215h120/springer-static/image/art%3A10.1038%2Fs41583-023-00769-8/MediaObjects/41583_2023_769_Fig1_HTML.png,38049610,Missing,Missing,barrier cell,COVID-19,increases,thrombosis,CBM,covid 19 thrombosis,Systemic Cross-Organ Effects
image_5,https://media.springernature.com/w215h120/springer-static/image/art%3A10.1038%2Fs41583-023-00769-8/MediaObjects/41583_2023_769_Fig1_HTML.png,38049610,Missing,Missing,barrier cell,thrombosis,increases,ischemia,CBM,thrombosis ischemia,Vascular Effects
image_5,https://media.springernature.com/w215h120/springer-static/image/art%3A10.1038%2Fs41583-023-00769-8/MediaObjects/41583_2023_769_Fig1_HTML.png,38049610,Missing,Missing,barrier cell,COVID-19,increases,ischemia,CBM,covid 19 ischemia,Systemic Cross-Organ Effects
image_5,https://media.springernature.com/w215h120/springer-static/image/art%3A10.1038%2Fs41583-023-00769-8/MediaObjects/41583_2023_769_Fig1_HTML.png,38049610,Missing,Missing,barrier cell,COVID-19,increases,Lung Injury,CBM,covid 19 lung injury,Systemic Cross-Organ Effects
image_5,https://media.springernature.com/w215h120/springer-static/image/art%3A10.1038%2Fs41583-023-00769-8/MediaObjects/41583_2023_769_Fig1_HTML.png,38049610,Missing,Missing,barrier cell,Lung Injury,increases,Hypoxia,CBM,lung injury hypoxia,Systemic Cross-Organ Effects
image_5,https://media.springernature.com/w215h120/springer-static/image/art%3A10.1038%2Fs41583-023-00769-8/MediaObjects/41583_2023_769_Fig1_HTML.png,38049610,Missing,Missing,barrier cell,COVID-19,increases,disease of metabolism,CBM,covid 19 disease of metabolism,Systemic Cross-Organ Effects
image_5,https://media.springernature.com/w215h120/springer-static/image/art%3A10.1038%2Fs41583-023-00769-8/MediaObjects/41583_2023_769_Fig1_HTML.png,38049610,Missing,Missing,barrier cell,COVID-19,increases,Epstein-Barr Virus Reactivation,CBM,covid 19 epstein barr virus reactivation,Viral Entry and Neuroinvasion
image_5,https://media.springernature.com/w215h120/springer-static/image/art%3A10.1038%2Fs41583-023-00769-8/MediaObjects/41583_2023_769_Fig1_HTML.png,38049610,Missing,Missing,barrier cell,COVID-19,increases,Virus Reactivation,CBM,covid 19 virus reactivation,Systemic Cross-Organ Effects
image_5,https://media.springernature.com/w215h120/springer-static/image/art%3A10.1038%2Fs41583-023-00769-8/MediaObjects/41583_2023_769_Fig1_HTML.png,38049610,Missing,Missing,barrier cell,COVID-19,increases,immune response,CBM,covid 19 immune response,Systemic Cross-Organ Effects
image_5,https://media.springernature.com/w215h120/springer-static/image/art%3A10.1038%2Fs41583-023-00769-8/MediaObjects/41583_2023_769_Fig1_HTML.png,38049610,Missing,Missing,barrier cell,COVID-19,increases,autoimmune response,CBM,covid 19 autoimmune response,Immune and Inflammatory Response
image_5,https://media.springernature.com/w215h120/springer-static/image/art%3A10.1038%2Fs41583-023-00769-8/MediaObjects/41583_2023_769_Fig1_HTML.png,38049610,Missing,Missing,barrier cell,COVID-19,increases,peripheral infection,CBM,covid 19 peripheral infection,Systemic Cross-Organ Effects
image_6,https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live,36991574,COVID-19,Missing,Missing,abnormal macrophage physiology,increases,COVID-19,CBM,abnormal macrophage physiology covid 19,Systemic Cross-Organ Effects
image_6,https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live,36991574,COVID-19,Missing,Missing,abnormal microglial cell physiology,increases,COVID-19,CBM,abnormal microglial cell physiology covid 19,Immune and Inflammatory Response
image_6,https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live,36991574,COVID-19,Missing,Missing,cytokine production involved in immune response,increases,COVID-19,CBM,cytokine production involved in immune response covid 19,Systemic Cross-Organ Effects
image_6,https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live,36991574,COVID-19,Missing,Missing,Abnormality of mitochondrial metabolism,increases,COVID-19,CBM,abnormality of mitochondrial metabolism covid 19,Systemic Cross-Organ Effects
image_6,https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live,36991574,COVID-19,Missing,Missing,TREM2 binding to DAP12,increases,inflammation,CBM,trem2 binding to dap12 inflammation,Viral Entry and Neuroinvasion
image_6,https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live,36991574,COVID-19,Missing,Missing,abnormal plasma membrane morphology,increases,COVID-19,CBM,abnormal plasma membrane morphology covid 19,Systemic Cross-Organ Effects
image_6,https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live,36991574,COVID-19,Missing,Missing,MAVS binding to VDAC1,increases,regulation of cell cycle,CBM,mavs binding to vdac1 regulation of cell cycle,Immune and Inflammatory Response
image_6,https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live,36991574,COVID-19,Missing,Missing,Abnormality of mitochondrial metabolism,increases,COVID-19,CBM,abnormality of mitochondrial metabolism covid 19,Systemic Cross-Organ Effects
image_6,https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live,36991574,Missing,Endoplasmic Reticuclum,Missing,reticulophagy,increases,COVID-19,CBM,reticulophagy covid 19,Systemic Cross-Organ Effects
image_6,https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live,36991574,Missing,Endoplasmic Reticuclum,Missing,Endoplasmi Reticulum Stress,increases,COVID-19,CBM,endoplasmi reticulum stress covid 19,Immune and Inflammatory Response
image_6,https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live,36991574,Alzheimer's disease,Missing,Missing,abnormal macrophage physiology,increases,Alzheimer's disease,CBM,abnormal macrophage physiology alzheimer's disease,Psychological and Neurological Symptoms
image_6,https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live,36991574,Alzheimer's disease,Missing,Missing,abnormal microglial cell physiology,increases,Alzheimer's disease,CBM,abnormal microglial cell physiology alzheimer's disease,Immune and Inflammatory Response
image_6,https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live,36991574,Alzheimer's disease,Missing,Missing,cytokine production involved in immune response,increases,Alzheimer's disease,CBM,cytokine production involved in immune response alzheimer's disease,Psychological and Neurological Symptoms
image_6,https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live,36991574,Alzheimer's disease,Missing,Missing,Abnormality of mitochondrial metabolism,increases,Alzheimer's disease,CBM,abnormality of mitochondrial metabolism alzheimer's disease,Systemic Cross-Organ Effects
image_6,https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live,36991574,Alzheimer's disease,Missing,Missing,TREM2 binding to DAP12,increases,inflammation,CBM,trem2 binding to dap12 inflammation,Viral Entry and Neuroinvasion
image_6,https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live,36991574,Alzheimer's disease,Missing,Missing,abnormal plasma membrane morphology,increases,Alzheimer's disease,CBM,abnormal plasma membrane morphology alzheimer's disease,Psychological and Neurological Symptoms
image_6,https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live,36991574,Alzheimer's disease,Missing,Missing,TPSO binding to VDAC1,increases,regulation of cell cycle,CBM,tpso binding to vdac1 regulation of cell cycle,Immune and Inflammatory Response
image_6,https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live,36991574,Alzheimer's disease,Missing,Missing,Abnormality of mitochondrial metabolism,increases,Alzheimer's disease,CBM,abnormality of mitochondrial metabolism alzheimer's disease,Systemic Cross-Organ Effects
image_6,https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live,36991574,Missing,Endoplasmic Reticuclum,Missing,reticulophagy,increases,Alzheimer's disease,CBM,reticulophagy alzheimer's disease,Psychological and Neurological Symptoms
image_6,https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live,36991574,Missing,Endoplasmic Reticuclum,Missing,Endoplasmi Reticulum Stress,increases,Alzheimer's disease,CBM,endoplasmi reticulum stress alzheimer's disease,Psychological and Neurological Symptoms
