Image_number;URL;PMID;Pathophysiological Process;Anatomy;Cell;Subject;Object;Source;Predicate
image_5;https://media.springernature.com/w215h120/springer-static/image/art%3A10.1038%2Fs41583-023-00769-8/MediaObjects/41583_2023_769_Fig1_HTML.png;38049610;Missing;Missing;barrier cell;COVID-19;peripheral infection;CBM;INCREASE
image_6;https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live;36991574;COVID-19;Missing;Missing;abnormal macrophage physiology;COVID-19;CBM;INCREASE
image_6;https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live;36991574;COVID-19;Missing;Missing;abnormal microglial cell physiology;COVID-19;CBM;INCREASE
image_6;https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live;36991574;COVID-19;Missing;Missing;cytokine production involved in immune response;COVID-19;CBM;INCREASE
image_6;https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live;36991574;COVID-19;Missing;Missing;Abnormality of mitochondrial metabolism;COVID-19;CBM;INCREASE
image_6;https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live;36991574;COVID-19;Missing;Missing;TREM2 binding to DAP12;inflammation;CBM;INCREASE
image_6;https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live;36991574;COVID-19;Missing;Missing;abnormal plasma membrane morphology;COVID-19;CBM;INCREASE
image_6;https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live;36991574;COVID-19;Missing;Missing;MAVS binding to VDAC1;regulation of cell cycle;CBM;INCREASE
image_6;https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live;36991574;COVID-19;Missing;Missing;Abnormality of mitochondrial metabolism;COVID-19;CBM;INCREASE
image_6;https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live;36991574;Missing;Endoplasmic Reticuclum;Missing;reticulophagy;COVID-19;CBM;INCREASE
image_6;https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live;36991574;Missing;Endoplasmic Reticuclum;Missing;Endoplasmi Reticulum Stress;COVID-19;CBM;INCREASE
image_6;https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live;36991574;Alzheimer's disease;Missing;Missing;abnormal macrophage physiology;Alzheimer's disease;CBM;INCREASE
image_6;https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live;36991574;Alzheimer's disease;Missing;Missing;abnormal microglial cell physiology;Alzheimer's disease;CBM;INCREASE
image_6;https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live;36991574;Alzheimer's disease;Missing;Missing;cytokine production involved in immune response;Alzheimer's disease;CBM;INCREASE
image_6;https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live;36991574;Alzheimer's disease;Missing;Missing;Abnormality of mitochondrial metabolism;Alzheimer's disease;CBM;INCREASE
image_6;https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live;36991574;Alzheimer's disease;Missing;Missing;TREM2 binding to DAP12;inflammation;CBM;INCREASE
image_6;https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live;36991574;Alzheimer's disease;Missing;Missing;abnormal plasma membrane morphology;Alzheimer's disease;CBM;INCREASE
image_6;https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live;36991574;Alzheimer's disease;Missing;Missing;TPSO binding to VDAC1;regulation of cell cycle;CBM;INCREASE
image_6;https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live;36991574;Alzheimer's disease;Missing;Missing;Abnormality of mitochondrial metabolism;Alzheimer's disease;CBM;INCREASE
image_6;https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live;36991574;Missing;Endoplasmic Reticuclum;Missing;reticulophagy;Alzheimer's disease;CBM;INCREASE
image_6;https://static.cambridge.org/binary/version/id/urn:cambridge.org:id:binary:20240402141018522-0535:S0317167123000392:S0317167123000392_fig3.png?pub-status=live;36991574;Missing;Endoplasmic Reticuclum;Missing;Endoplasmi Reticulum Stress;Alzheimer's disease;CBM;INCREASE
image_7;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs00702-022-02500-w/MediaObjects/702_2022_2500_Fig2_HTML.png;35434769;COVID-19;Missing;Missing;SARS-CoV-2 S binding to ACE2;COVID-19;CBM;INCREASE
image_7;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs00702-022-02500-w/MediaObjects/702_2022_2500_Fig2_HTML.png;35434769;COVID-19;Missing;Missing;SARS-CoV-2-human S-TMPRSS2 direct interaction;COVID-19;CBM;INCREASE
image_7;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs00702-022-02500-w/MediaObjects/702_2022_2500_Fig2_HTML.png;35434769;Missing;Missing;Th1 Cells;COVID-19;TNF;CBM;INCREASE
image_7;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs00702-022-02500-w/MediaObjects/702_2022_2500_Fig2_HTML.png;35434769;Missing;Missing;Th1 Cells;COVID-19;IFNG;CBM;INCREASE
image_7;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs00702-022-02500-w/MediaObjects/702_2022_2500_Fig2_HTML.png;35434769;Missing;Missing;Neurons;COVID-19;inflammation;CBM;INCREASE
image_7;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs00702-022-02500-w/MediaObjects/702_2022_2500_Fig2_HTML.png;35434769;Missing;Missing;Neurons;COVID-19;Axonal degeneration;CBM;INCREASE
image_7;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs00702-022-02500-w/MediaObjects/702_2022_2500_Fig2_HTML.png;35434769;Missing;Missing;Neurons;COVID-19;demyelination;CBM;INCREASE
image_7;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs00702-022-02500-w/MediaObjects/702_2022_2500_Fig2_HTML.png;35434769;Missing;Missing;Neurons;COVID-19;NEFL;CBM;INCREASE
image_7;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs00702-022-02500-w/MediaObjects/702_2022_2500_Fig2_HTML.png;35434769;Missing;Missing;Neurons;COVID-19;TARDBP;CBM;INCREASE
image_7;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs00702-022-02500-w/MediaObjects/702_2022_2500_Fig2_HTML.png;35434769;Missing;Missing;Neurons;COVID-19;SCNA;CBM;INCREASE
image_7;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs00702-022-02500-w/MediaObjects/702_2022_2500_Fig2_HTML.png;35434769;Missing;Missing;Neurons;COVID-19;MAPT;CBM;INCREASE
image_7;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs00702-022-02500-w/MediaObjects/702_2022_2500_Fig2_HTML.png;35434769;Missing;Missing;Neurons;NEFL;demyelination;CBM;INCREASE
image_7;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs00702-022-02500-w/MediaObjects/702_2022_2500_Fig2_HTML.png;35434769;Missing;Missing;Neurons;TARDBP;demyelination;CBM;INCREASE
image_7;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs00702-022-02500-w/MediaObjects/702_2022_2500_Fig2_HTML.png;35434769;Missing;Missing;Neurons;SCNA;demyelination;CBM;INCREASE
image_7;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs00702-022-02500-w/MediaObjects/702_2022_2500_Fig2_HTML.png;35434769;Missing;Missing;Neurons;MAPT;demyelination;CBM;INCREASE
image_7;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs00702-022-02500-w/MediaObjects/702_2022_2500_Fig2_HTML.png;35434769;Missing;Missing;Neurons;NEFL;Nerve Degeneration;CBM;INCREASE
image_7;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs00702-022-02500-w/MediaObjects/702_2022_2500_Fig2_HTML.png;35434769;Missing;Missing;Neurons;TARDBP;Nerve Degeneration;CBM;INCREASE
image_7;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs00702-022-02500-w/MediaObjects/702_2022_2500_Fig2_HTML.png;35434769;Missing;Missing;Neurons;SCNA;Nerve Degeneration;CBM;INCREASE
image_7;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs00702-022-02500-w/MediaObjects/702_2022_2500_Fig2_HTML.png;35434769;Missing;Missing;Neurons;MAPT;Nerve Degeneration;CBM;INCREASE
image_8;https://whn.global/app/uploads/2023/01/ConsequencesofCovInfection.png;32506549;COVID-19;Missing;Missing;COVID-19;multiple organ failure;CBM;INCREASE
image_8;https://whn.global/app/uploads/2023/01/ConsequencesofCovInfection.png;32506549;COVID-19;Missing;Missing;COVID-19;coagulopathy;CBM;INCREASE
image_8;https://whn.global/app/uploads/2023/01/ConsequencesofCovInfection.png;32506549;COVID-19;Missing;Missing;COVID-19;inflammation;CBM;INCREASE
image_8;https://whn.global/app/uploads/2023/01/ConsequencesofCovInfection.png;32506549;COVID-19;Missing;Missing;COVID-19;Hypoxia, Brain;CBM;INCREASE
image_8;https://whn.global/app/uploads/2023/01/ConsequencesofCovInfection.png;32506549;COVID-19;Missing;Missing;COVID-19;Metabolic Encephalopathy;CBM;INCREASE
